,id,width,height,set,file_name
0,a4ea732cd3d5948a,840,1024,train,train/a4ea732cd3d5948a.jpg
1,4bf43a7b2a898044,1024,683,train,train/4bf43a7b2a898044.jpg
2,1b55b309b0f50d02,1024,683,train,train/1b55b309b0f50d02.jpg
3,00c359f294f7dcd9,1024,680,train,train/00c359f294f7dcd9.jpg
4,04b5a37f762b0f51,768,1024,train,train/04b5a37f762b0f51.jpg
5,b3c4d860c380c674,1024,682,train,train/b3c4d860c380c674.jpg
6,edecba688d135d36,705,1024,train,train/edecba688d135d36.jpg
7,01ee1b7395e1d8c4,1024,575,train,train/01ee1b7395e1d8c4.jpg
8,344193868ca2f738,1024,834,train,train/344193868ca2f738.jpg
9,a183473b9b4bc8f6,357,1024,train,train/a183473b9b4bc8f6.jpg
10,4e40fcde84677d90,1024,768,train,train/4e40fcde84677d90.jpg
11,c126876b5ac73c91,1024,768,train,train/c126876b5ac73c91.jpg
12,57ad2d3ddcde298b,1024,768,train,train/57ad2d3ddcde298b.jpg
13,171e532e7edaf8f9,819,1024,train,train/171e532e7edaf8f9.jpg
14,754dd4b30ec02ca5,1024,683,train,train/754dd4b30ec02ca5.jpg
15,a0fa95532b52cf18,1024,768,train,train/a0fa95532b52cf18.jpg
16,d3abbec0a3c582c1,768,1024,train,train/d3abbec0a3c582c1.jpg
17,75cd66309f4183ae,6000,4000,train,train/75cd66309f4183ae.jpg
18,6e39569903a669f5,1024,680,train,train/6e39569903a669f5.jpg
19,c6d465f45fe01f84,1024,768,train,train/c6d465f45fe01f84.jpg
20,f872a1953fef84a3,1024,1024,train,train/f872a1953fef84a3.jpg
21,4974a1000a27a984,768,1024,train,train/4974a1000a27a984.jpg
22,00ca922eb4890a3b,1024,680,train,train/00ca922eb4890a3b.jpg
23,2a89a2256448b62e,768,1024,train,train/2a89a2256448b62e.jpg
24,f795d4f48d364b95,1024,768,train,train/f795d4f48d364b95.jpg
25,e81c07266ea2699d,768,1024,train,train/e81c07266ea2699d.jpg
26,f67b40ccda2d8e79,768,1024,train,train/f67b40ccda2d8e79.jpg
27,8b2354348560f150,1024,670,train,train/8b2354348560f150.jpg
28,dc0e9a22751975a7,1024,683,train,train/dc0e9a22751975a7.jpg
29,df075cc4d3859d32,1024,683,train,train/df075cc4d3859d32.jpg
30,03d905bf4fef974b,1024,1024,train,train/03d905bf4fef974b.jpg
31,181596df2d9a23cd,768,1024,train,train/181596df2d9a23cd.jpg
32,f8ce42369cb217ca,683,1024,train,train/f8ce42369cb217ca.jpg
33,39ab62bf93a384df,1024,681,train,train/39ab62bf93a384df.jpg
34,01aa9b9a3520fc0c,1024,768,train,train/01aa9b9a3520fc0c.jpg
35,2687bcd22dde6fa9,1024,768,train,train/2687bcd22dde6fa9.jpg
36,19c0685503268f0c,1024,681,train,train/19c0685503268f0c.jpg
37,3b686fabd9152b76,1024,1024,train,train/3b686fabd9152b76.jpg
38,635392a827aba324,1024,768,train,train/635392a827aba324.jpg
39,2edd89774519c784,1024,508,train,train/2edd89774519c784.jpg
